(443.095646,252.169507,481.470754)
(-780.229882,653.787203,193.788733)
(123.680463,-722.469146,739.807043)
(145.144084,-296.775289,509.706329)
(-342.694233,-467.828847,467.047854)
(-310.780591,-383.802577,790.534888)
(-198.960734,313.765249,666.768367)
(78.569804,444.254036,601.726709)
(1625.855290,-153.152230,1229.321744)
(-351.758766,199.110345,967.962694)
(-1947.273854,2279.077313,3177.857972)
(130.357774,228.166519,716.313724)
(-758.414503,-747.341108,1130.757824)
(-952.110270,354.165405,1227.561552)
(109.150054,-346.510834,619.532240)
(142.352024,-33.278910,821.260816)
(-517.407505,-688.379700,1452.508169)
(43.971657,525.143911,697.314262)
(723.119469,235.500000,1311.296305)
(5234.156964,-4372.079034,6701.273681)
(-94.184297,-1369.201690,975.236033)
(-177.778833,-879.846528,807.951314)
(542.156117,-175.048092,1059.217590)
(415.087162,760.203698,565.393907)
(246.234776,-390.173050,1207.400890)
(-620.341608,503.212444,485.874934)
(-469.761060,-79.213961,537.252809)
(570.400884,108.209059,1150.323604)
(143.009220,-124.496172,556.407184)
(-384.682366,-22.304167,622.860413)
(794.125764,-668.217154,1603.710179)
(165.991260,28.248795,921.588184)
(667.551790,580.472658,357.172453)
(-938.360970,-300.887799,681.254877)
(-267.690009,82.388712,880.788162)
(615.308796,-658.006644,283.160590)
(-408.652124,-2.615182,622.044610)
(530.589557,-62.636441,879.712735)
(-550.387282,337.856396,1234.544314)
(244.880173,-607.665193,758.345151)
(1596.645197,3340.676438,4313.568846)
(272.142103,-634.257832,892.260403)
(505.511496,147.934983,397.047292)
(-131.964130,-10.021236,730.844995)
(-48.354014,-488.400772,453.942360)
(936.502333,84.496580,1477.842167)
(62.988224,-162.684773,671.947425)
(36.867622,79.017027,901.843847)
(-37.778907,-314.048280,833.594787)
(-1280.384568,-135.400493,1246.923551)
(-750.494579,-538.166302,263.373275)
(-22.127052,604.527419,756.646407)
(103.270058,-339.501981,376.550225)
(95.397765,383.733027,819.660024)
(-445.510488,-1690.261817,2695.061369)
(-12810.140351,4337.505848,13782.607249)
(-476.876984,580.410029,604.855503)
(-1461.030940,848.873520,1585.594888)
(-530.306711,-249.984042,575.552637)
(-236.862898,408.479012,741.508913)
(-1612.657107,-7616.816085,7676.249266)
(396.648799,1476.397258,1275.439262)
(1060.758506,-655.186049,1174.339392)
(806.295001,1351.560301,1796.372601)
(-1851.028555,678.672318,1649.375585)
(794.958842,-365.864309,690.649119)
(-1.157012,314.001718,701.317130)
(2.868472,-83.279844,815.076869)
(891.363821,379.715463,645.350500)
(-2102.126591,522.211170,1895.285580)
(333.948508,-228.870034,453.641543)
(-615.713497,158.139579,682.104676)
(123.663954,-166.279665,867.200905)
(14185.298883,10660.952514,17840.365877)
(-167.245999,376.678861,783.875147)
(-402.784904,86.029302,1006.098391)
(-1.546328,-696.008218,953.850896)
(628.359420,556.528509,1545.972438)
(408.478666,-265.418165,704.561035)
(-76.908190,67.819055,584.565735)
(-262.618760,7.482409,895.533759)
(47.079205,-1196.392193,1316.995410)
(16299.057818,-3709.736572,17050.264747)
(-86.690004,-201.456606,742.365583)
(-438.521533,-30.908383,867.925947)
(63.217062,159.234966,862.603340)
(556.730719,-299.629476,1198.805284)
(7968.238585,-2898.487019,8182.247087)
(369.074416,-56.319375,919.010659)
(186.579312,-557.261189,746.592134)
(-4150.780829,7214.155331,8950.228386)
(-670.859833,5827.972803,5397.520067)
(-390.432633,215.430411,548.501859)
(432.448445,268.380040,528.577472)
(596.437419,221.307078,657.732448)
(315.480759,-1417.128899,1053.371831)
(86.081204,-280.338653,897.929141)
(-1.746050,-384.093185,464.978529)
(121.232427,-403.718662,762.969663)
(-9884.272302,-7370.746623,12525.261539)
(86.555076,341.250535,380.213764)
(282.862003,-253.612558,101.674899)
(150.817574,-365.523704,48.734139)
(425.010385,208.096963,279.166417)
(-234.260967,175.669949,343.838961)
(-482.564390,-345.511576,128.961962)
(358.817676,231.028715,29.001586)
(63.556828,-738.435430,60.398205)
(63.409772,427.185962,306.832893)
(-267.097995,788.914727,29.835748)
(718.587613,668.126186,230.531213)
(-9.634862,393.146802,270.164654)
(-94.120857,-340.348972,489.922764)
(214.832579,-420.046472,46.790794)
(97.417062,-524.164272,312.985307)
(486.154240,-318.822424,156.603589)
(-113.030483,196.478500,146.879870)
(97.460906,131.793295,85.274156)
(250.327888,589.827226,26.931947)
(-658.651020,29.518548,225.035384)
(290.317826,-22.523194,115.980034)
(546.497318,342.499478,77.932827)
(-300.743267,-212.095754,115.354977)
(-440.336822,-328.772554,432.774672)
(523.264000,814.327051,54.236095)
(-764.772854,463.317020,193.092178)
(323.920819,324.075692,267.647426)
(205.162117,227.807133,46.951738)
(-177.651376,208.703143,101.071260)
(496.416954,-430.185619,311.188521)
(-89.246611,-71.546976,390.957267)
(351.684005,-613.326706,16.681276)
(-77.104810,506.241566,107.817214)
(-422.133283,-175.627887,143.663201)
(326.145928,391.612250,12.940445)
(-453.373024,-259.448900,63.578496)
(2.988993,571.070861,88.701656)
(406.459002,-225.261488,25.154212)
(112.877062,-138.144509,11.009929)
(35.112228,-515.260176,345.735775)
(-250.787171,-252.061651,168.463956)
(-9.534106,-51.803334,133.404575)
(-114.304635,-455.084145,141.151404)
(-320.212250,-154.663652,360.062387)
(717.667676,56.902992,170.643559)
(511.262082,-707.792320,25.205725)
(540.424778,84.588676,134.713974)
(-147.303817,-225.808608,65.593435)
(84.612573,-338.670816,99.780255)
(742.710644,-292.603123,34.694236)
(181.738767,-350.013123,5.991433)
(-151.396818,-365.479735,165.224111)
(-4.331328,-95.825212,417.781295)
(130.471059,154.111058,259.996629)
(850.096810,-597.455736,48.825668)
(700.283123,210.588566,139.425635)
(-508.430382,445.641388,215.179866)
(476.132631,175.222072,99.789119)
(9.167393,210.605137,192.125041)
(382.524284,-666.020331,96.813964)
(-82.559442,-443.396195,174.398839)
(-143.672411,611.222359,67.441947)
(-770.600670,529.555574,24.135857)
(288.910137,-876.670875,23.620197)
(559.355838,418.037326,391.396525)
(-261.715411,562.138610,52.035564)
(241.882082,-368.393327,384.871355)
(-24.620242,439.437842,94.757216)
(-581.595023,-661.868452,44.788394)
(-136.815614,265.648716,509.724043)
(453.910216,-408.295286,266.943498)
(-777.632443,46.889780,35.173374)
(181.253436,-393.050986,104.691780)
(-688.365386,-688.874221,60.024167)
(84.212155,-571.571032,304.572751)
(-104.345263,182.873976,161.891002)
(-90.610119,283.324895,197.484414)
(221.245116,277.859150,70.163274)
(-342.697361,-540.575547,254.393809)
(-141.216488,557.890293,195.242961)
(-13.142933,-605.816985,20.808406)
(-797.248470,337.235828,64.002078)
(-222.062616,-273.393684,442.002153)
(-245.766830,-120.942654,60.576207)
(1.934944,-370.473169,402.696092)
(-385.057321,307.137739,250.060166)
(232.224237,554.245600,7.454575)
(-712.640648,-511.568135,201.291853)
(401.689421,68.638313,412.701502)
(675.796552,690.491822,64.416959)
(-729.089566,-398.256480,79.192738)
(-390.258145,-560.271421,129.428324)
(-402.883599,-75.270526,285.783784)
(-76.261552,749.123423,36.461921)
(140.333149,358.135370,341.157969)
(515.253979,-483.415976,117.112419)
(398.324913,537.117896,219.081694)
(61.528384,800.785384,150.473913)
(-609.953961,578.880050,116.927252)
(431.081634,2.877942,93.969049)
[64.274242,114.769256]
[12.718975,97.403735]
